id	turn1	turn2	turn3	label
0	Hmm	What does your bio mean?	I don’t have any bio	others
1	What you like	very little things	Ok 	others
2	Yes	How so?	I want to fuck babu	others
3	what did you guess	what what	fuck	others
4	We ?	of course we will!	What gender movies you like??	others
5	Where are you now?	At home just about to have breakfast...	what are you eating?	others
6	That was a joke btw...	it was	Yes 😁	happy
7	Who d hell s he	johnny depp...duh?	Who she	others
8	yes, good advice	best advice ...	i great thx	others
9	Nice to meet u	Hi, nice to meet you too! 😸😂	😁	happy
10	Yupp	why?	Don't know I'm tired	others
